Gender,Age,Category,Quantity,Price,Sales,Year,Month,Quarter,Day,Age_Group
Male,32,Clothing,2,300,600,2023,Jan,Quarter 1,Sunday,29-39
Female,47,Beauty,2,25,50,2023,Apr,Quarter 2,Friday,40-49
Female,59,Clothing,1,25,25,2023,Jan,Quarter 1,Tuesday,60-69
Female,34,Beauty,2,500,1000,2023,Jun,Quarter 2,Sunday,29-39
Female,22,Electronics,1,500,500,2023,Jul,Quarter 3,Tuesday,20-29
Female,46,Clothing,1,50,50,2023,May,Quarter 2,Thursday,40-49
Female,21,Clothing,4,300,1200,2023,Feb,Quarter 1,Friday,20-29
Female,27,Beauty,3,25,75,2023,Apr,Quarter 2,Wednesday,20-29
Female,34,Electronics,4,500,2000,2023,Oct,Quarter 4,Wednesday,29-39
Male,27,Clothing,3,300,900,2023,Jun,Quarter 2,Sunday,20-29
Female,34,Electronics,3,500,1500,2023,Apr,Quarter 2,Wednesday,29-39
Male,37,Clothing,3,500,1500,2023,Dec,Quarter 4,Saturday,29-39
Female,41,Electronics,2,25,50,2023,Sep,Quarter 3,Wednesday,40-49
Female,22,Beauty,4,25,100,2023,Jul,Quarter 3,Saturday,20-29
Male,51,Clothing,3,500,1500,2023,Nov,Quarter 4,Sunday,50-59
Female,23,Clothing,1,30,30,2023,Aug,Quarter 3,Wednesday,20-29
Male,19,Electronics,2,500,1000,2023,Mar,Quarter 1,Wednesday,13-19
Female,30,Electronics,4,500,2000,2023,May,Quarter 2,Tuesday,29-39
Female,60,Clothing,3,50,150,2023,Mar,Quarter 1,Monday,60-69
Male,60,Beauty,1,50,50,2023,May,Quarter 2,Sunday,60-69
Female,28,Electronics,4,50,200,2023,Oct,Quarter 4,Sunday,20-29
Male,64,Electronics,4,30,120,2023,Oct,Quarter 4,Tuesday,60-69
Female,40,Electronics,2,30,60,2023,May,Quarter 2,Monday,40-49
Male,33,Clothing,4,500,2000,2023,Oct,Quarter 4,Friday,29-39
Male,48,Clothing,2,50,100,2023,Aug,Quarter 3,Tuesday,40-49
Female,28,Clothing,3,30,90,2023,Oct,Quarter 4,Thursday,20-29
Female,33,Clothing,2,25,50,2023,Jul,Quarter 3,Monday,29-39
Male,25,Beauty,1,500,500,2023,Jul,Quarter 3,Wednesday,20-29
Female,21,Beauty,2,300,600,2023,Apr,Quarter 2,Sunday,20-29
Female,57,Clothing,1,500,500,2023,Mar,Quarter 1,Sunday,50-59
Female,21,Beauty,2,300,600,2023,Sep,Quarter 3,Monday,20-29
Male,42,Electronics,4,50,200,2023,Sep,Quarter 3,Sunday,40-49
Male,20,Electronics,3,300,900,2023,Feb,Quarter 1,Thursday,20-29
Male,49,Electronics,1,50,50,2023,Jan,Quarter 1,Wednesday,50-59
Male,20,Clothing,2,25,50,2023,Feb,Quarter 1,Sunday,20-29
Male,44,Electronics,2,300,600,2023,Mar,Quarter 1,Monday,40-49
Male,46,Beauty,2,500,1000,2023,Nov,Quarter 4,Saturday,40-49
Male,49,Clothing,4,50,200,2023,Mar,Quarter 1,Thursday,50-59
Male,36,Beauty,4,500,2000,2023,Dec,Quarter 4,Friday,29-39
Male,38,Electronics,1,30,30,2023,Aug,Quarter 3,Saturday,29-39
Female,22,Electronics,1,50,50,2023,Nov,Quarter 4,Thursday,20-29
Male,35,Electronics,4,300,1200,2023,Feb,Quarter 1,Thursday,29-39
Female,45,Clothing,1,50,50,2023,Jul,Quarter 3,Monday,40-49
Female,59,Beauty,3,500,1500,2023,Jul,Quarter 3,Saturday,60-69
Female,39,Clothing,3,25,75,2023,Nov,Quarter 4,Thursday,40-49
Male,38,Clothing,4,50,200,2023,Aug,Quarter 3,Monday,29-39
Male,23,Electronics,1,300,300,2023,Sep,Quarter 3,Thursday,20-29
Male,18,Clothing,2,30,60,2023,May,Quarter 2,Tuesday,13-19
Male,22,Clothing,3,25,75,2023,Oct,Quarter 4,Wednesday,20-29
Female,58,Electronics,4,30,120,2023,Jan,Quarter 1,Friday,50-59
Male,29,Clothing,1,50,50,2023,Dec,Quarter 4,Friday,29-39
Male,43,Electronics,4,500,2000,2023,Feb,Quarter 1,Tuesday,40-49
Male,63,Electronics,2,500,1000,2023,Dec,Quarter 4,Saturday,60-69
Male,51,Electronics,3,300,900,2023,Oct,Quarter 4,Monday,50-59
Male,31,Electronics,4,500,2000,2023,May,Quarter 2,Wednesday,29-39
Female,43,Clothing,4,25,100,2023,Nov,Quarter 4,Saturday,40-49
Male,62,Electronics,4,500,2000,2023,Jun,Quarter 2,Saturday,60-69
Female,44,Electronics,2,300,600,2023,Feb,Quarter 1,Monday,40-49
Male,26,Clothing,4,50,200,2023,May,Quarter 2,Wednesday,20-29
Female,43,Clothing,2,50,100,2023,Aug,Quarter 3,Friday,40-49
Male,64,Beauty,2,500,1000,2023,Mar,Quarter 1,Wednesday,60-69
Male,39,Clothing,2,30,60,2023,Aug,Quarter 3,Monday,40-49
Female,64,Clothing,3,50,150,2023,Jan,Quarter 1,Monday,60-69
Female,47,Beauty,3,500,1500,2023,May,Quarter 2,Monday,40-49
Female,60,Clothing,4,300,1200,2023,Sep,Quarter 3,Thursday,60-69
Male,34,Clothing,4,500,2000,2023,Apr,Quarter 2,Sunday,29-39
Female,43,Clothing,3,50,150,2023,Sep,Quarter 3,Sunday,40-49
Male,53,Clothing,1,300,300,2023,Feb,Quarter 1,Friday,50-59
Male,18,Beauty,3,500,1500,2023,Nov,Quarter 4,Friday,13-19
Female,25,Clothing,2,25,50,2023,Jun,Quarter 2,Friday,20-29
Female,52,Clothing,3,300,900,2023,Nov,Quarter 4,Friday,50-59
Male,32,Beauty,2,25,50,2023,Sep,Quarter 3,Sunday,29-39
Male,64,Electronics,4,30,120,2023,Nov,Quarter 4,Wednesday,60-69
Female,39,Beauty,1,300,300,2023,Apr,Quarter 2,Wednesday,40-49
Female,31,Electronics,4,25,100,2023,Mar,Quarter 1,Monday,29-39
Female,43,Beauty,2,50,100,2023,Jul,Quarter 3,Tuesday,40-49
Male,45,Beauty,2,50,100,2023,Mar,Quarter 1,Friday,40-49
Male,40,Clothing,2,30,60,2023,Oct,Quarter 4,Wednesday,40-49
Male,31,Electronics,1,300,300,2023,Sep,Quarter 3,Friday,29-39
Male,41,Clothing,3,300,900,2023,Jan,Quarter 1,Sunday,40-49
Male,19,Electronics,4,300,1200,2023,Nov,Quarter 4,Friday,13-19
Male,62,Beauty,4,30,120,2023,Jun,Quarter 2,Thursday,60-69
Female,43,Beauty,3,300,900,2023,Sep,Quarter 3,Friday,40-49
Male,31,Electronics,4,50,200,2023,Jan,Quarter 1,Tuesday,29-39
Male,24,Clothing,1,25,25,2023,Feb,Quarter 1,Monday,20-29
Male,20,Clothing,4,50,200,2023,Jul,Quarter 3,Wednesday,20-29
Female,64,Clothing,2,50,100,2023,Jun,Quarter 2,Wednesday,60-69
Male,40,Clothing,3,25,75,2023,May,Quarter 2,Wednesday,40-49
Male,63,Beauty,1,50,50,2023,Jan,Quarter 1,Monday,60-69
Female,60,Beauty,3,30,90,2023,May,Quarter 2,Thursday,60-69
Male,64,Beauty,1,25,25,2023,Oct,Quarter 4,Wednesday,60-69
Male,62,Beauty,2,50,100,2023,Feb,Quarter 1,Friday,60-69
Male,35,Beauty,3,500,1500,2023,Feb,Quarter 1,Monday,29-39
Male,55,Clothing,4,50,200,2023,Sep,Quarter 3,Wednesday,50-59
Male,52,Clothing,1,30,30,2023,Feb,Quarter 1,Sunday,50-59
Female,32,Clothing,3,300,900,2023,Sep,Quarter 3,Saturday,29-39
Female,42,Clothing,4,50,200,2023,Mar,Quarter 1,Monday,40-49
Female,54,Beauty,3,300,900,2023,Mar,Quarter 1,Tuesday,50-59
Male,45,Beauty,3,500,1500,2023,Dec,Quarter 4,Monday,40-49
Male,27,Beauty,3,50,150,2023,Sep,Quarter 3,Friday,20-29
Male,56,Electronics,1,25,25,2023,Oct,Quarter 4,Monday,50-59
Female,34,Clothing,4,300,1200,2023,Mar,Quarter 1,Sunday,29-39
Male,56,Clothing,2,500,1000,2023,May,Quarter 2,Tuesday,50-59
Male,39,Beauty,1,25,25,2023,Sep,Quarter 3,Thursday,40-49
Female,43,Clothing,1,25,25,2023,Nov,Quarter 4,Tuesday,40-49
Male,61,Clothing,1,25,25,2023,Aug,Quarter 3,Saturday,60-69
Female,42,Beauty,2,25,50,2023,Apr,Quarter 2,Wednesday,40-49
Female,34,Electronics,4,50,200,2023,Oct,Quarter 4,Wednesday,29-39
Female,30,Electronics,4,50,200,2023,Dec,Quarter 4,Wednesday,29-39
Male,37,Electronics,4,50,200,2023,Apr,Quarter 2,Thursday,29-39
Male,21,Clothing,3,500,1500,2023,Jun,Quarter 2,Friday,20-29
Male,27,Beauty,3,500,1500,2023,Jul,Quarter 3,Monday,20-29
Male,20,Beauty,2,30,60,2023,Dec,Quarter 4,Sunday,20-29
Male,58,Clothing,3,500,1500,2023,Nov,Quarter 4,Wednesday,50-59
Male,62,Electronics,2,50,100,2023,Jul,Quarter 3,Tuesday,60-69
Female,35,Electronics,4,50,200,2023,Aug,Quarter 3,Sunday,29-39
Male,64,Beauty,3,30,90,2023,Sep,Quarter 3,Friday,60-69
Female,53,Electronics,3,30,90,2023,Aug,Quarter 3,Sunday,50-59
Male,64,Beauty,1,500,500,2023,Mar,Quarter 1,Friday,60-69
Male,39,Beauty,2,300,600,2023,May,Quarter 2,Sunday,40-49
Male,51,Clothing,4,30,120,2023,Apr,Quarter 2,Wednesday,50-59
Female,64,Clothing,1,25,25,2023,Feb,Quarter 1,Thursday,60-69
Female,25,Clothing,1,50,50,2023,Jun,Quarter 2,Friday,20-29
Female,57,Beauty,4,25,100,2023,Jan,Quarter 1,Wednesday,50-59
Female,61,Clothing,1,50,50,2023,Oct,Quarter 4,Sunday,60-69
Male,36,Electronics,2,50,100,2023,Oct,Quarter 4,Wednesday,29-39
Female,59,Electronics,2,30,60,2023,Apr,Quarter 2,Friday,60-69
Male,58,Beauty,3,30,90,2023,Oct,Quarter 4,Sunday,50-59
Male,54,Beauty,1,25,25,2023,Apr,Quarter 2,Sunday,50-59
Female,23,Clothing,3,50,150,2023,Jan,Quarter 1,Wednesday,20-29
Female,43,Beauty,1,25,25,2023,Feb,Quarter 1,Monday,40-49
Female,51,Beauty,2,300,600,2023,Dec,Quarter 4,Friday,50-59
Female,62,Electronics,2,25,50,2023,Nov,Quarter 4,Monday,60-69
Female,23,Electronics,2,500,1000,2023,Jan,Quarter 1,Tuesday,20-29
Female,54,Clothing,1,25,25,2023,Apr,Quarter 2,Friday,50-59
Female,50,Beauty,2,500,1000,2023,Feb,Quarter 1,Saturday,50-59
Female,39,Beauty,1,500,500,2023,Jan,Quarter 1,Tuesday,40-49
Male,38,Electronics,3,500,1500,2023,Jun,Quarter 2,Monday,29-39
Female,23,Beauty,1,300,300,2023,Feb,Quarter 1,Monday,20-29
Female,23,Electronics,3,25,75,2023,Sep,Quarter 3,Thursday,20-29
Male,21,Clothing,1,25,25,2023,May,Quarter 2,Tuesday,20-29
Female,47,Electronics,3,300,900,2023,May,Quarter 2,Tuesday,40-49
Male,28,Beauty,2,50,100,2023,Dec,Quarter 4,Saturday,20-29
Male,47,Clothing,3,30,90,2023,Sep,Quarter 3,Wednesday,40-49
Female,48,Electronics,2,25,50,2023,Apr,Quarter 2,Thursday,40-49
Male,41,Electronics,2,30,60,2023,Oct,Quarter 4,Wednesday,40-49
Male,26,Clothing,3,300,900,2023,Mar,Quarter 1,Thursday,20-29
Male,20,Clothing,1,50,50,2023,Oct,Quarter 4,Friday,20-29
Male,48,Electronics,1,50,50,2023,Oct,Quarter 4,Monday,40-49
Female,57,Beauty,4,50,200,2023,Aug,Quarter 3,Thursday,50-59
Male,54,Electronics,1,300,300,2023,May,Quarter 2,Friday,50-59
Female,53,Clothing,4,500,2000,2023,Aug,Quarter 3,Thursday,50-59
Male,41,Electronics,1,500,500,2023,Jul,Quarter 3,Friday,40-49
Male,48,Clothing,1,30,30,2023,Apr,Quarter 2,Saturday,40-49
Male,23,Clothing,2,500,1000,2023,Feb,Quarter 1,Saturday,20-29
Male,19,Beauty,4,500,2000,2023,Feb,Quarter 1,Sunday,13-19
Female,37,Clothing,1,50,50,2023,Dec,Quarter 4,Monday,29-39
Female,45,Clothing,4,50,200,2023,Aug,Quarter 3,Wednesday,40-49
Male,28,Beauty,2,30,60,2023,Jul,Quarter 3,Saturday,20-29
Male,21,Clothing,2,25,50,2023,Aug,Quarter 3,Saturday,20-29
Female,32,Beauty,4,30,120,2023,Jul,Quarter 3,Sunday,29-39
Male,23,Beauty,2,30,60,2023,Aug,Quarter 3,Monday,20-29
Male,47,Clothing,3,300,900,2023,Jan,Quarter 1,Saturday,40-49
Male,55,Clothing,3,300,900,2023,Dec,Quarter 4,Monday,50-59
Female,19,Electronics,2,30,60,2023,Dec,Quarter 4,Friday,13-19
Female,32,Beauty,3,30,90,2023,Nov,Quarter 4,Monday,29-39
Female,28,Electronics,1,30,30,2023,Feb,Quarter 1,Monday,20-29
Male,25,Clothing,4,500,2000,2023,Feb,Quarter 1,Wednesday,20-29
Male,43,Electronics,1,300,300,2023,Jul,Quarter 3,Wednesday,40-49
Female,62,Beauty,4,30,120,2023,Jun,Quarter 2,Friday,60-69
Female,61,Electronics,2,50,100,2023,Feb,Quarter 1,Saturday,60-69
Female,22,Beauty,1,50,50,2023,May,Quarter 2,Monday,20-29
Female,23,Clothing,2,500,1000,2023,Apr,Quarter 2,Sunday,20-29
Male,43,Clothing,2,500,1000,2023,Apr,Quarter 2,Saturday,40-49
Female,21,Beauty,4,25,100,2023,Oct,Quarter 4,Monday,20-29
Male,36,Clothing,4,25,100,2023,Aug,Quarter 3,Friday,29-39
Female,37,Clothing,4,25,100,2023,Mar,Quarter 1,Monday,29-39
Male,50,Clothing,1,500,500,2023,Aug,Quarter 3,Saturday,50-59
Female,37,Clothing,3,500,1500,2023,Apr,Quarter 2,Tuesday,29-39
Female,29,Beauty,4,500,2000,2023,May,Quarter 2,Tuesday,29-39
Female,64,Electronics,4,50,200,2023,Aug,Quarter 3,Friday,60-69
Female,18,Electronics,1,500,500,2023,May,Quarter 2,Monday,13-19
Male,43,Clothing,4,50,200,2023,Feb,Quarter 1,Wednesday,40-49
Female,31,Electronics,1,25,25,2023,Aug,Quarter 3,Tuesday,29-39
Male,55,Electronics,2,25,50,2023,Oct,Quarter 4,Monday,50-59
Male,54,Clothing,4,25,100,2023,Feb,Quarter 1,Monday,50-59
Male,28,Clothing,4,30,120,2023,Jan,Quarter 1,Thursday,20-29
Male,53,Electronics,2,30,60,2023,Nov,Quarter 4,Thursday,50-59
Female,30,Beauty,2,300,600,2023,Oct,Quarter 4,Wednesday,29-39
Male,60,Clothing,2,300,600,2023,Jan,Quarter 1,Sunday,60-69
Male,20,Beauty,4,300,1200,2023,Feb,Quarter 1,Friday,20-29
Male,50,Electronics,3,30,90,2023,May,Quarter 2,Tuesday,50-59
Female,23,Clothing,3,30,90,2023,Mar,Quarter 1,Monday,20-29
Female,27,Beauty,3,300,900,2023,Jul,Quarter 3,Friday,20-29
Female,22,Clothing,4,300,1200,2023,Sep,Quarter 3,Wednesday,20-29
Female,40,Electronics,2,500,1000,2023,Sep,Quarter 3,Monday,40-49
Male,27,Beauty,4,300,1200,2023,Apr,Quarter 2,Thursday,20-29
Male,61,Electronics,2,500,1000,2023,Jul,Quarter 3,Tuesday,60-69
Female,19,Electronics,4,50,200,2023,Jan,Quarter 1,Tuesday,13-19
Male,30,Clothing,4,30,120,2023,Mar,Quarter 1,Sunday,29-39
Male,57,Beauty,2,300,600,2023,Jul,Quarter 3,Friday,50-59
Male,19,Electronics,3,30,90,2023,Jan,Quarter 1,Monday,13-19
Female,37,Electronics,2,30,60,2023,Jul,Quarter 3,Wednesday,29-39
Female,18,Beauty,1,30,30,2023,May,Quarter 2,Tuesday,13-19
Male,54,Electronics,1,50,50,2023,Aug,Quarter 3,Monday,50-59
Female,26,Electronics,2,25,50,2023,May,Quarter 2,Saturday,20-29
Female,34,Beauty,4,300,1200,2023,Aug,Quarter 3,Saturday,29-39
Female,26,Beauty,1,25,25,2023,Dec,Quarter 4,Saturday,20-29
Female,28,Beauty,1,25,25,2023,Oct,Quarter 4,Thursday,20-29
Female,32,Beauty,4,25,100,2023,Dec,Quarter 4,Tuesday,29-39
Male,41,Clothing,4,30,120,2023,Sep,Quarter 3,Thursday,40-49
Female,55,Beauty,3,500,1500,2023,Mar,Quarter 1,Tuesday,50-59
Male,52,Clothing,4,30,120,2023,Apr,Quarter 2,Saturday,50-59
Male,47,Clothing,2,30,60,2023,Jun,Quarter 2,Thursday,40-49
Female,48,Clothing,2,25,50,2023,Apr,Quarter 2,Saturday,40-49
Male,22,Electronics,3,30,90,2023,Jan,Quarter 1,Monday,20-29
Male,61,Clothing,1,25,25,2023,Oct,Quarter 4,Tuesday,60-69
Male,31,Clothing,1,500,500,2023,Oct,Quarter 4,Thursday,29-39
Female,28,Electronics,4,300,1200,2023,Feb,Quarter 1,Wednesday,20-29
Female,26,Electronics,2,25,50,2023,Jun,Quarter 2,Saturday,20-29
Male,51,Electronics,1,500,500,2023,Jan,Quarter 1,Monday,50-59
Female,29,Beauty,3,300,900,2023,Jan,Quarter 1,Thursday,29-39
Female,52,Electronics,3,50,150,2023,Oct,Quarter 4,Friday,50-59
Female,52,Electronics,2,25,50,2023,Sep,Quarter 3,Saturday,50-59
Female,18,Clothing,3,25,75,2023,Sep,Quarter 3,Friday,13-19
Male,57,Electronics,3,50,150,2023,Sep,Quarter 3,Friday,50-59
Male,39,Beauty,2,50,100,2023,Mar,Quarter 1,Wednesday,40-49
Female,46,Electronics,4,25,100,2023,Jan,Quarter 1,Monday,40-49
Female,25,Beauty,4,50,200,2023,Sep,Quarter 3,Monday,20-29
Male,28,Electronics,3,30,90,2023,Feb,Quarter 1,Saturday,20-29
Male,58,Electronics,4,300,1200,2023,Apr,Quarter 2,Thursday,50-59
Female,54,Electronics,4,300,1200,2023,Feb,Quarter 1,Sunday,50-59
Male,31,Electronics,3,300,900,2023,Nov,Quarter 4,Wednesday,29-39
Female,47,Beauty,4,30,120,2023,Feb,Quarter 1,Saturday,40-49
Female,52,Beauty,3,50,150,2023,Dec,Quarter 4,Tuesday,50-59
Male,38,Clothing,1,500,500,2023,May,Quarter 2,Monday,29-39
Male,54,Beauty,2,50,100,2023,Jul,Quarter 3,Wednesday,50-59
Female,22,Electronics,2,25,50,2023,Mar,Quarter 1,Friday,20-29
Female,36,Clothing,4,300,1200,2023,Oct,Quarter 4,Thursday,29-39
Male,31,Clothing,4,50,200,2023,May,Quarter 2,Sunday,29-39
Female,43,Clothing,4,500,2000,2023,Oct,Quarter 4,Tuesday,40-49
Male,21,Electronics,2,25,50,2023,Nov,Quarter 4,Wednesday,20-29
Female,42,Beauty,1,30,30,2023,Jan,Quarter 1,Saturday,40-49
Male,62,Electronics,1,30,30,2023,Nov,Quarter 4,Tuesday,60-69
Male,59,Clothing,2,500,1000,2023,Feb,Quarter 1,Saturday,60-69
Male,42,Electronics,1,25,25,2023,Aug,Quarter 3,Thursday,40-49
Female,35,Electronics,2,300,600,2023,Dec,Quarter 4,Sunday,29-39
Female,57,Beauty,1,50,50,2023,Oct,Quarter 4,Thursday,50-59
Male,25,Beauty,3,25,75,2023,Oct,Quarter 4,Tuesday,20-29
Female,56,Clothing,3,30,90,2023,Sep,Quarter 3,Monday,50-59
Male,57,Electronics,2,500,1000,2023,Jun,Quarter 2,Sunday,50-59
Male,31,Electronics,1,500,500,2023,May,Quarter 2,Sunday,29-39
Female,49,Beauty,4,50,200,2023,Apr,Quarter 2,Saturday,50-59
Female,55,Electronics,1,500,500,2023,Dec,Quarter 4,Saturday,50-59
Male,50,Electronics,3,500,1500,2023,Jun,Quarter 2,Saturday,50-59
Female,40,Electronics,3,25,75,2023,May,Quarter 2,Wednesday,40-49
